Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,No Sats Used,No Sats Provided
28/01/2008,21:50:01,-54.391687,-36.254576,20,0.504903,-2.66,0,4,4
28/01/2008,22:07:00,-54.392027,-36.254548,20,6.905837,-1.62,-1.62,6,6
28/01/2008,22:45:00,-54.391325,-36.254288,20,0.137638,-0.17,-1.62,4,4
28/01/2008,22:48:00,-54.392745,-36.253637,20,2.875761,-0.31,-1.62,5,5
28/01/2008,23:03:00,-54.39188,-36.254381,20,6.538471,-0.25,-1.62,5,5
28/01/2008,23:18:00,-54.39444,-36.254476,20,18.071948,-1.5,-1.62,5,5
28/01/2008,23:41:00,-54.366701,-36.218873,20,14.011575,4.72,-1.62,4,4
29/01/2008,00:02:00,-54.381628,-36.231369,20,0.359039,2.5,-1.62,4,4
29/01/2008,00:25:00,-54.392167,-36.254027,20,1.248146,-1.07,-1.62,5,5
29/01/2008,00:40:00,-54.392267,-36.254682,20,10.845932,0.01,-1.61,7,7
29/01/2008,00:55:00,-54.391869,-36.25441,20,16.279881,-1.07,-2.68,7,7
29/01/2008,01:10:00,-54.3922,-36.254046,20,17.283398,0.07,-2.61,7,7
29/01/2008,01:25:00,-54.392369,-36.254592,20,8.190341,0,-2.61,6,6
29/01/2008,01:40:00,-54.39213,-36.25371,20,10.980372,-0.03,-2.64,6,6
29/01/2008,01:55:00,-54.391709,-36.254179,20,0.036945,0.06,-2.64,4,4
29/01/2008,02:10:00,-54.39255,-36.254576,20,0.17345,0.13,-2.64,4,4
29/01/2008,02:25:00,-54.39,-36.250121,20,15.951326,0.44,-2.64,5,5
29/01/2008,02:40:00,-54.392094,-36.253898,20,10.906472,0.28,-2.64,5,5
29/01/2008,02:55:00,-54.392248,-36.253828,20,17.505978,0.24,-2.64,5,5
29/01/2008,03:10:00,-54.392351,-36.254095,20,9.695013,0.2,-2.64,5,6
29/01/2008,03:25:00,-54.393744,-36.256051,20,0.348141,-1,-2.64,4,4
29/01/2008,03:40:00,-54.391779,-36.254732,20,26.555195,0.29,-2.64,5,5
29/01/2008,03:55:00,-54.392206,-36.254667,20,7.891045,0.26,-2.38,7,7
29/01/2008,04:10:00,-54.392678,-36.255224,20,1.296328,-0.83,-2.38,4,4
29/01/2008,04:27:00,-54.392395,-36.254561,20,11.213717,0.27,-2.11,6,6
29/01/2008,04:44:00,-54.396432,-36.263283,20,0.893297,-1.6,-2.11,4,4
29/01/2008,04:59:00,-54.392572,-36.254744,20,4.663598,0.03,-2.11,5,5
29/01/2008,05:14:00,-54.391167,-36.255892,20,0.468038,-1.01,-2.11,4,4
29/01/2008,05:54:00,-54.288743,-36.212837,20,6.453372,-4.26,-2.11,4,6
29/01/2008,06:09:00,-54.392449,-36.254371,20,12.822963,0.27,-1.84,6,6
29/01/2008,06:24:00,-54.391827,-36.254076,20,0.558881,-1,-1.84,4,4
29/01/2008,06:39:00,-54.392433,-36.254765,20,18.306586,-1.01,-1.84,5,5
29/01/2008,06:54:00,-54.392983,-36.255682,20,1.55584,0.04,-1.84,4,4
29/01/2008,07:09:00,-54.391565,-36.254308,20,0.40826,-0.93,-1.84,4,4
29/01/2008,07:28:00,-54.386927,-36.250442,20,1.733194,-1.14,-1.84,4,4
29/01/2008,07:49:00,-54.39178,-36.253449,20,0.109618,-0.86,-1.84,4,4
29/01/2008,08:08:00,-54.391589,-36.253703,20,0.787989,-0.77,-1.84,4,4
29/01/2008,08:46:00,-54.39159,-36.256555,20,0.691534,-0.98,-1.84,4,4
29/01/2008,09:01:00,-54.391461,-36.255025,20,1.199859,-1,-1.84,4,5
29/01/2008,09:16:00,-54.392448,-36.254864,20,0.118531,-1.8,-1.84,4,4
29/01/2008,09:31:00,-54.392822,-36.254034,20,22.80791,-0.72,-1.84,5,5
29/01/2008,09:46:00,-54.394617,-36.255777,20,0.367428,-0.59,-1.84,4,4
29/01/2008,10:01:00,-54.39188,-36.254323,20,11.981444,-1.81,-1.84,5,5
